Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Spent,Living_With,Children,Family_Size,Is_Parent,Age_Group,Total_Online_Purchases,Total_Store_Purchases
Undergraduate,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,49,61,Partner,0,2,0,"(40, 50]",2,3
Graduate,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,66,1102,Alone,0,1,0,"(60, 70]",7,8
Postgraduate,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,73,310,Alone,2,3,1,"(70, 80]",7,5
Graduate,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38,46,Partner,0,2,0,"(30, 40]",1,3
Postgraduate,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,79,1315,Alone,0,1,0,"(70, 80]",13,12
Graduate,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,45,96,Partner,2,4,1,"(40, 50]",3,3
Graduate,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,79,317,Partner,0,2,0,"(70, 80]",5,6
Postgraduate,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,76,1782,Partner,1,3,1,"(70, 80]",15,9
Undergraduate,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,40,133,Alone,1,2,1,"(30, 40]",3,3
Graduate,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,43,316,Partner,0,2,0,"(40, 50]",6,5
Graduate,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46,1730,Partner,1,3,1,"(40, 50]",28,0
Postgraduate,58607.0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,76,972,Partner,1,3,1,"(70, 80]",5,9
Postgraduate,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,71,544,Partner,1,3,1,"(70, 80]",8,9
Graduate,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,444,Partner,1,3,1,"(70, 80]",8,5
Graduate,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,56,75,Alone,0,1,0,"(50, 60]",3,3
Graduate,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,49,257,Partner,2,4,1,"(40, 50]",6,4
Graduate,52720.37365591398,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,39,637,Alone,1,2,1,"(30, 40]",27,0
Graduate,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,36,131,Partner,1,3,1,"(30, 40]",3,4
Postgraduate,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,60,1672,Partner,0,2,0,"(50, 60]",15,10
Postgraduate,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,36,30,Alone,0,1,0,"(30, 40]",3,3
Postgraduate,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,318,Partner,0,2,0,"(60, 70]",7,3
Graduate,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,55,120,Partner,1,3,1,"(50, 60]",3,4
Postgraduate,46610.0,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,73,302,Alone,2,3,1,"(70, 80]",5,6
Postgraduate,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,79,1196,Partner,0,2,0,"(70, 80]",8,9
Postgraduate,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,74,65,Alone,2,3,1,"(70, 80]",2,3
Postgraduate,67353.0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,55,913,Partner,1,3,1,"(50, 60]",11,12
Undergraduate,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,49,81,Partner,1,3,1,"(40, 50]",4,2
Graduate,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,67,Alone,1,2,1,"(50, 60]",2,3
Postgraduate,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,82,902,Alone,0,1,0,"(80, 90]",17,5
Graduate,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,45,1395,Partner,1,3,1,"(40, 50]",14,5
Postgraduate,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40,53,Partner,1,3,1,"(30, 40]",2,3
Graduate,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,68,22,Partner,1,3,1,"(60, 70]",0,3
Postgraduate,56145.31392931393,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,66,186,Alone,0,1,0,"(60, 70]",4,4
Postgraduate,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,50,31,Partner,1,3,1,"(40, 50]",2,3
Graduate,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,49,984,Alone,0,1,0,"(40, 50]",6,9
Undergraduate,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,29,122,Partner,0,2,0,"(20, 30]",4,3
Graduate,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,57,55,Partner,1,3,1,"(50, 60]",2,2
Graduate,52720.37365591398,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,74,124,Alone,3,4,1,"(70, 80]",3,4
Postgraduate,72550.0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,71,1319,Partner,2,4,1,"(70, 80]",7,12
Graduate,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,68,507,Alone,1,2,1,"(60, 70]",6,10
Postgraduate,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,61,1693,Partner,0,2,0,"(60, 70]",15,13
Graduate,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,72,Alone,1,2,1,"(40, 50]",2,3
Graduate,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,48,1617,Alone,0,1,0,"(40, 50]",13,7
Graduate,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,606,Partner,2,4,1,"(40, 50]",6,10
Postgraduate,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,70,1957,Partner,0,2,0,"(60, 70]",13,13
Graduate,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,59,1093,Alone,0,1,0,"(50, 60]",10,10
Graduate,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,37,29,Alone,1,2,1,"(30, 40]",1,4
Graduate,52720.37365591398,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,43,46,Alone,1,2,1,"(40, 50]",2,3
Postgraduate,55954.0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,57,518,Partner,1,3,1,"(50, 60]",10,6
Postgraduate,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,43,1438,Alone,0,1,0,"(40, 50]",9,11
Graduate,66653.0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,50,612,Partner,2,4,1,"(40, 50]",6,12
Graduate,61823.0,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,73,884,Alone,1,2,1,"(70, 80]",10,10
Postgraduate,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,74,606,Alone,1,2,1,"(70, 80]",10,8
Graduate,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,77,1076,Partner,0,2,0,"(70, 80]",11,4
Graduate,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,54,34,Partner,1,3,1,"(50, 60]",2,2
Graduate,32474.0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,58,11,Partner,2,4,1,"(50, 60]",1,2
Undergraduate,88194.0,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,46,1274,Alone,1,2,1,"(40, 50]",21,10
Graduate,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,67,653,Partner,1,3,1,"(60, 70]",7,10
Graduate,74854.0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,55,1562,Partner,3,5,1,"(50, 60]",7,5
Postgraduate,66991.0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,71,1253,Partner,0,2,0,"(70, 80]",12,6
Undergraduate,47633.19,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,52,109,Partner,1,3,1,"(50, 60]",3,3
Graduate,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,66,863,Partner,1,3,1,"(60, 70]",13,13
Postgraduate,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50,661,Partner,2,4,1,"(40, 50]",11,8
Graduate,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,73,65,Partner,0,2,0,"(70, 80]",3,4
Graduate,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48,13,Alone,1,2,1,"(40, 50]",1,2
Postgraduate,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,53,1890,Partner,0,2,0,"(50, 60]",13,5
Graduate,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,49,2209,Alone,0,1,0,"(40, 50]",13,9
Undergraduate,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,49,18,Partner,0,2,0,"(40, 50]",0,3
Graduate,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,60,692,Partner,0,2,0,"(50, 60]",11,8
Graduate,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,40,165,Alone,1,2,1,"(30, 40]",4,4
Graduate,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,56,16,Partner,1,3,1,"(50, 60]",1,2
Undergraduate,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,52,79,Partner,1,3,1,"(50, 60]",3,3
Postgraduate,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,318,Partner,0,2,0,"(60, 70]",7,3
Graduate,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,38,778,Alone,0,1,0,"(30, 40]",13,13
Graduate,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,65,56,Partner,2,4,1,"(60, 70]",1,4
Postgraduate,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,55,151,Partner,2,4,1,"(50, 60]",4,4
Graduate,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,68,372,Alone,1,2,1,"(60, 70]",7,6
Graduate,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,52,1366,Partner,0,2,0,"(50, 60]",11,7
Graduate,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,58,194,Partner,1,3,1,"(50, 60]",4,5
Postgraduate,56145.31392931393,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,68,603,Partner,3,5,1,"(60, 70]",9,8
Graduate,52720.37365591398,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,68,18,Alone,2,3,1,"(60, 70]",1,2
Postgraduate,52917.53424657534,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,52,985,Partner,0,2,0,"(50, 60]",6,8
Postgraduate,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,53,32,Alone,1,2,1,"(50, 60]",1,3
Postgraduate,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,55,43,Partner,1,3,1,"(50, 60]",4,3
Graduate,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,42,45,Partner,1,3,1,"(40, 50]",2,3
Graduate,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,65,606,Alone,1,2,1,"(60, 70]",11,6
Graduate,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,53,63,Alone,2,3,1,"(50, 60]",2,3
Undergraduate,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,74,978,Partner,0,2,0,"(70, 80]",12,12
Postgraduate,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,42,410,Partner,0,2,0,"(40, 50]",7,7
Undergraduate,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,65,72,Alone,1,2,1,"(60, 70]",2,3
Postgraduate,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,66,55,Alone,1,2,1,"(60, 70]",2,3
Graduate,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,46,1169,Partner,1,3,1,"(40, 50]",14,11
Postgraduate,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,80,1120,Partner,0,2,0,"(70, 80]",9,6
Graduate,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,66,1097,Partner,0,2,0,"(60, 70]",14,5
Undergraduate,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,46,29,Partner,1,3,1,"(40, 50]",1,3
Graduate,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,61,187,Partner,2,4,1,"(60, 70]",5,4
Graduate,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,56,910,Partner,2,4,1,"(50, 60]",10,12
Graduate,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,47,145,Alone,1,2,1,"(40, 50]",4,3
Postgraduate,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,65,850,Partner,0,2,0,"(60, 70]",9,4
Graduate,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,46,969,Partner,1,3,1,"(40, 50]",12,11
Postgraduate,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,34,1820,Alone,0,1,0,"(30, 40]",11,5
Postgraduate,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,62,608,Partner,1,3,1,"(60, 70]",9,8
Graduate,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,34,730,Alone,0,1,0,"(30, 40]",13,11
Postgraduate,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,45,551,Partner,1,3,1,"(40, 50]",10,6
Graduate,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,63,114,Alone,2,3,1,"(60, 70]",3,3
Graduate,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,55,1724,Partner,0,2,0,"(50, 60]",10,5
Undergraduate,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,47,577,Partner,1,3,1,"(40, 50]",10,5
Undergraduate,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,58,81,Partner,2,4,1,"(50, 60]",2,3
Graduate,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,56,33,Partner,1,3,1,"(50, 60]",2,3
Postgraduate,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,72,660,Partner,1,3,1,"(70, 80]",8,10
Postgraduate,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,58,80,Alone,1,2,1,"(50, 60]",3,3
Postgraduate,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,40,30,Partner,2,4,1,"(30, 40]",1,3
Graduate,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,49,43,Alone,1,2,1,"(40, 50]",1,3
Graduate,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,42,1135,Alone,0,1,0,"(40, 50]",14,13
Undergraduate,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,60,559,Partner,0,2,0,"(50, 60]",7,7
Graduate,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,41,1923,Alone,0,1,0,"(40, 50]",9,6
Postgraduate,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,72,90,Partner,2,4,1,"(70, 80]",2,4
Postgraduate,56145.31392931393,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,64,404,Partner,1,3,1,"(60, 70]",7,7
Postgraduate,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,69,661,Partner,2,4,1,"(60, 70]",9,10
Graduate,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,73,463,Partner,1,3,1,"(70, 80]",9,5
Postgraduate,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,67,632,Alone,2,3,1,"(60, 70]",12,6
Graduate,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,56,725,Partner,0,2,0,"(50, 60]",9,9
Graduate,52720.37365591398,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,62,725,Partner,1,3,1,"(60, 70]",11,7
Postgraduate,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,61,279,Partner,2,4,1,"(60, 70]",6,5
Postgraduate,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,58,1482,Partner,0,2,0,"(50, 60]",9,13
Undergraduate,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,49,29,Alone,1,2,1,"(40, 50]",1,3
Postgraduate,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,66,106,Partner,3,5,1,"(60, 70]",4,2
Postgraduate,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,52,49,Alone,2,3,1,"(50, 60]",2,2
Postgraduate,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,60,38,Alone,2,3,1,"(50, 60]",2,3
Postgraduate,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,33,2077,Alone,0,1,0,"(30, 40]",9,12
Postgraduate,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,49,1053,Partner,1,3,1,"(40, 50]",8,7
Graduate,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,63,1385,Partner,0,2,0,"(60, 70]",12,10
Postgraduate,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,51,871,Alone,1,2,1,"(50, 60]",13,9
Graduate,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,37,312,Partner,1,3,1,"(30, 40]",6,3
Graduate,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,49,877,Partner,2,4,1,"(40, 50]",6,6
Graduate,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,50,68,Partner,1,3,1,"(40, 50]",2,3
Graduate,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,44,22,Partner,1,3,1,"(40, 50]",1,2
Undergraduate,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,52,211,Partner,3,5,1,"(50, 60]",5,4
Postgraduate,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,59,127,Partner,0,2,0,"(50, 60]",3,4
Postgraduate,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,72,459,Partner,2,4,1,"(70, 80]",8,7
Graduate,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,56,460,Partner,1,3,1,"(50, 60]",9,6
Undergraduate,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,53,429,Partner,1,3,1,"(50, 60]",8,5
Graduate,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,37,89,Alone,1,2,1,"(30, 40]",3,4
Postgraduate,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,73,1021,Partner,1,3,1,"(70, 80]",13,11
Graduate,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,76,1381,Partner,0,2,0,"(70, 80]",14,6
Graduate,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,67,306,Alone,1,2,1,"(60, 70]",7,5
Graduate,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,47,18,Alone,3,4,1,"(40, 50]",0,3
Graduate,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,48,162,Partner,1,3,1,"(40, 50]",2,6
Graduate,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,70,1231,Alone,0,1,0,"(60, 70]",7,10
Postgraduate,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,67,13,Alone,3,4,1,"(60, 70]",1,2
Postgraduate,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,80,1706,Partner,0,2,0,"(70, 80]",16,9
Graduate,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,41,121,Partner,1,3,1,"(40, 50]",3,4
Postgraduate,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,50,1293,Alone,0,1,0,"(40, 50]",9,10
Postgraduate,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,52,1608,Partner,1,3,1,"(50, 60]",22,0
Graduate,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,59,88,Partner,3,5,1,"(50, 60]",2,4
Graduate,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,72,421,Alone,0,1,0,"(70, 80]",13,4
Graduate,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,66,259,Alone,0,1,0,"(60, 70]",5,6
Graduate,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,37,1117,Alone,0,1,0,"(30, 40]",7,7
Graduate,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,68,89,Partner,2,4,1,"(60, 70]",3,3
